phase,team1,team2,dd,result,star,stadium,remark
supercup,psv,fyn,20080823,2-0,1,Amsterdam (de Arena),
8f,rdj,lie,20090121,2-0,3,,
8f,vol,exc,20090121,3-0,1,,
8f,fyn,hrv,20090120,0-3,2,,
8f,nec,spr,20090121,2-1,1,,
8f,adh,twn,20090128,1-5,2,,
8f,drd,grf,20090120,0-1,2,,
8f,az1,ach,20090121,3-0,1,,
8f,nac,grn,20090121,2-2,5,,
4f,rdj,vol,20090305,2-3,4,,
4f,hrv,nec,20090304,3-1,1,,
4f,twn,grf,20090304,1-0,3,,
4f,az1,nac,20090305,1-2,2,,
2f,vol,hrv,20090422,0-2,2,,
2f,twn,nac,20090421,3-1,1,,
f,twn,hrv,20090517,2-2,6,Rotterdam (De Kuip),{wnshort =>'4-5'}
