# empty header
supercup,psv,twn,20010812,3,2,1,,Amsterdam (de Arena)
8f,aj2,twn,20011212,2,1,3
8f,tls,fst,20011211,1,0,1
8f,utr,exc,20011211,4,1,1
8f,rdj,hrv,20011211,0,1,2
8f,ajx,rbc,20011212,4,3,3
8f,grn,zwl,20011212,3,0,1
8f,rkc,psv,20011212,1,2,4
8f,fyn,dbs,20011212,2,0,1
quarterfinal =>  kwart finale
4f,aj2,tls,20020207,3,0,1
4f,utr,hrv,20020130,3,1,1
4f,ajx,grn,20020207,4,0,1
4f,psv,fyn,20020130,1,1,5
semifinal =>  halve finale
2f,aj2,utr,20020329,2,2,6
2f,ajx,psv,20020410,3,0,1
f,ajx,utr,20020512,3,2,3,,Rotterdam (De Kuip)
