phase,team1,team2,dd,result,star,stadium
supercup,pzw,ajx,20140803,1-0,1,Amsterdam (de Arena)
8f,grf,twn,20141217,2-4,2,
8f,az1,nec,20141217,2-1,1,
8f,hrc,cmb,20141216,0-3,2,
8f,vvv,pzw,20141216,0-1,2,
8f,rdj,psv,20150120,3-2,3,
8f,exc,nac,20141218,6-0,1,
8f,grn,vol,20141217,3-0,1,
8f,ajx,vit,20141218,0-4,2,
4f,twn,az1,20150127,3-0,1,
4f,cmb,pzw,20150127,2-3,4,
4f,rdj,exc,20150128,1-4,2,
4f,grn,vit,20150128,4-0,1,
2f,twn,pzw,20150407,1-1,6,
2f,grn,exc,20150408,3-0,1,
f,pzw,grn,20150503,0-2,2,
