# empty header
supercup,psv,ajx,20060813,1,3,2,,Amsterdam (de Arena)
8f,wl2,grf,20070123,4,2,1 #6000
8f,ajx,hrl,20070124,4,0,1 #23100
8f,spr,rkc,20070124,2,3,4 #3500
8f,rdj,az2,20070125,2,1,1 #3500
8f,utr,rbc,20070124,1,0,1 #7100
8f,az1,mvv,20070123,5,0,1 #5796
8f,twn,nac,20070124,1,2,2 #12500
8f,psv,gae,20070125,3,2,1 #25000
4f,wl2,ajx,20070228,0,2,2 #11000
4f,rkc,rdj,20070228,1,0,1 #3100
4f,utr,az1,20070228,1,2,2 #14500
4f,nac,psv,20070228,3,0,1  #14100
2f,ajx,rkc,20070418,3,1,1 #34600
2f,az1,nac,20070419,6,0,1  #14198
f,az1,ajx,20070506,1,1,6,wnshort=7-8,Rotterdam (De Kuip) # 35000
