# empty header
supercup,ajx,twn,20110730,1,2,2,,Amsterdam (de Arena)
8f,end,vit,20111222,1,2,2
8f,hrv,top,20111221,11,1,1
8f,twn,psv,20111222,1,2,4
8f,nec,ach,20111221,3,0,1
8f,ajx,az1,20120119,2,3,2
8f,spr,gvv,20111220,1,1,6
8f,hrc,grf,20111220,4,0,1
8f,rkc,gae,20111220,3,2,1
4f,vit,hrv,20120131,1,2,2
4f,psv,nec,20120202,3,2,1
4f,az1,gvv,20120201,2,1,1
4f,hrc,rkc,20120201,3,0,1
2f,hrv,psv,20120321,1,3,2
2f,az1,hrc,20120322,2,4,4
f,psv,hrc,20120408,3,0,1,,Rotterdam (De Kuip)
beker_opm,Ajax-AZ gestaakt na incident rond AZ-keeper Esteban.
beker_opm,Een maand later geheel overgespeeld voor 20 duizend scholieren onder de 12.
