phase,team1,team2,dd,result,star,stadium,remark
supercup,psv,rdj,19970817,3-1,1,Amsterdam (de Arena),
4f,ajx,nac,19980311,2-1,1,,
4f,hrv,fst,19980331,3-0,1,,
4f,psv,fyn,19980312,4-0,1,,
4f,twn,vit,19980311,3-1,1,,
2f,ajx,hrv,19980507,3-0,1,,
2f,psv,twn,19980429,2-1,1,,
f,ajx,psv,19980517,5-0,1,Rotterdam (De Kuip),
f34,hrv,twn,19980514,3-1,1,Zwolle,Troostfinale voor &eacute;&eacute;n plaats in de Europacup II
