phase,team1,team2,dd,result,star,stadium,remark
supercup,psv,ajx,20050805,1-2,2,Amsterdam (de Arena),
8f,hrv,vvv,20051220,2-0,1,,
8f,end,ajx,20051222,1-6,2,,
8f,hlm,aj2,20051220,2-1,1,,
8f,rdj,fyn,20051221,1-0,1,,
8f,grn,vol,20051222,3-0,1,,
8f,psv,twn,20051220,3-0,1,,
8f,az1,nec,20051221,2-0,1,,
8f,mvv,wl2,20051220,3-1,1,,
4f,hrv,ajx,20060202,0-3,2,,
4f,hlm,rdj,20060131,0-2,2,,
4f,grn,psv,20060201,2-3,2,,
4f,az1,mvv,20060131,4-0,1,,
2f,ajx,rdj,20060322,4-1,3,,
2f,psv,az1,20060322,2-0,3,,
f,ajx,psv,20060507,2-1,1,Rotterdam (de Kuip), {arbiter => 'Vink'; publiek => 30770; rood_a  => ['Galasek'; 64; '2x geel']; rood_b  => ['Lamey'; 71; '2x geel']; trainer_a => 'Danny Blind'; trainer_b => 'Guus Hiddink'; chronological => [[48; 1; 0; 'huntelaar'];[53; 1; 1;  'Lamey'];['90+2'; 2; 1; 'huntelaar'] ]}
