# empty header
supercup,psv,rdj,20000813,2,0,1,,Amsterdam (de Arena)
8f,vvv,hrv,20010127,0,1,2
8f,nec,fyn,20010125,1,2,2
8f,rdj,utr,20010126,2,0,1
8f,psv,dbs,20010124,4,1,1
8f,ajx,vit,20010126,1,2,4
8f,exc,az1,20010126,1,3,2
8f,hrc,zwl,20010127,1,5,2
8f,fst,twn,20010127,1,2,2
4f,hrv,fyn,20010314,4,3,1,op 14 feb werd heerenveen-feyenoord na 25 min bij 0-0 wegens mist gestaakt; volledig overgespeeld
4f,rdj,psv,20010207,0,2,2
4f,vit,az1,20010207,2,1,1
4f,zwl,twn,20010207,3,4,2
2f,hrv,psv,20010411,1,3,2
2f,vit,twn,20010412,0,0,6
f,twn,psv,20010524,0,0,5,,Rotterdam (De Kuip)
