league,round,team1,team2,dd,result,star,stadium,remark
CL,gD,ITmln,straf,pnt,2,,,
CL,gD,NLajx,ITmln,19940914,2-0,,,
CL,gD,ATcsb,GRaek,19940914,0-0,,,
CL,gD,GRaek,NLajx,19940928,1-2,,,
CL,gD,ITmln,ATcsb,19940928,3-0,,,
CL,gD,ATcsb,NLajx,19941019,0-0,,,
CL,gD,GRaek,ITmln,19941019,0-0,,,
CL,gD,NLajx,ATcsb,19941102,1-1,,,
CL,gD,ITmln,GRaek,19941102,2-1,,Triest,
CL,gD,ITmln,NLajx,19941123,0-2,,Triest,
CL,gD,GRaek,ATcsb,19941123,1-3,,,
CL,gD,NLajx,GRaek,19941207,2-0,,,
CL,gD,ATcsb,ITmln,19941207,0-1,,,
CL,4f,HRhds,NLajx,19950301,0-0,-1,,
CL,4f,NLajx,HRhds,19950315,3-0,2,,
CL,4f,DEbmn,SEifk,19950301,0-0,-1,,
CL,4f,SEifk,DEbmn,19950315,2-2,1,,
CL,4f,ITmln,PTbnf,19950301,0-0,-1,,
CL,4f,PTbnf,ITmln,19950315,0-0,5,,
CL,4f,ESbcl,FRpsg,19950301,1-1,-1,,
CL,4f,FRpsg,ESbcl,19950315,2-1,2,,
CL,2f,DEbmn,NLajx,19950405,0-0,-1,,
CL,2f,NLajx,DEbmn,19950419,5-2,2,,
CL,2f,FRpsg,ITmln,19950405,0-1,-1,,
CL,2f,ITmln,FRpsg,19950419,2-0,2,,
CL,f,NLajx,ITmln,19950524,1-0,1,Wenen,
EC2,round1,LTzvl,NLfyn,19940915,1-1,-1,,
EC2,round1,NLfyn,LTzvl,19940929,2-1,2,,
EC2,16f,NLfyn,DEwbr,19941020,1-0,-1,,
EC2,16f,DEwbr,NLfyn,19941103,3-4,1,,
EC2,4f,BEcbr,G1cls,19950302,1-0,-1,,
EC2,4f,G1cls,BEcbr,19950316,2-0,2,,
EC2,4f,NLfyn,ESrzg,19950302,1-0,-1,,
EC2,4f,ESrzg,NLfyn,19950216,2-0,2,,
EC2,4f,ITsdr,PTpor,19950302,0-1,-1,,
EC2,4f,PTpor,ITsdr,19950216,0-1,5,,
EC2,4f,G1ars,FRaux,19950302,1-1,-1,,
EC2,4f,FRaux,G1ars,19950216,1-1,5,,
EC2,2f,ESrzg,G1cls,19950406,3-0,-1,,
EC2,2f,G1cls,ESrzg,19950420,3-1,1,,
EC2,2f,G1ars,ITsdr,19950406,3-2,-1,,
EC2,2f,ITsdr,G1ars,19950420,3-2,5,,
EC2,f,ESrzg,G1ars,19950510,2-1,3,,Al Hamar Mohammed; bijgenaamd Nayim scoort in de slotseconde van de 2e verlenging een absolute wereldgoal. <br>Vanaf 40 m lift hij de bal over de verbouwereerde keeper.
UEFAcup,round1,NLtwn,HUkhv,19940913,1-4,-1,,
UEFAcup,round1,HUkhv,NLtwn,19940927,1-3,2,,
UEFAcup,round1,NLvit,ITprm,19940913,1-0,-1,,
UEFAcup,round1,ITprm,NLvit,19940927,2-0,2,,
UEFAcup,round1,DElvk,NLpsv,19940913,5-4,-1,,
UEFAcup,round1,NLpsv,DElvk,19940927,0-0,1,,
UEFAcup,4f,ITlzr,DEbdm,19950228,1-0,-1,,
UEFAcup,4f,DEbdm,ITlzr,19950314,2-0,2,,
UEFAcup,4f,DEefr,ITjuv,19950228,1-1,-1,,
UEFAcup,4f,ITjuv,DEefr,19950314,3-0,2,,
UEFAcup,4f,ITprm,DKodn,19950228,1-0,-1,,
UEFAcup,4f,DKodn,ITprm,19950314,0-0,1,,
UEFAcup,4f,DElvk,FRnnt,19950228,5-1,-1,,
UEFAcup,4f,FRnnt,DElvk,19950314,0-0,1,,
UEFAcup,2f,ITjuv,DEbdm,19950404,2-2,-1,,
UEFAcup,2f,DEbdm,ITjuv,19950418,1-2,1,,
UEFAcup,2f,DElvk,ITprm,19950404,1-2,-1,,
UEFAcup,2f,ITprm,DElvk,19950418,3-0,2,,
UEFAcup,f,ITprm,ITjuv,19950503,1-0,-1,,
UEFAcup,f,ITjuv,ITprm,19950517,1-1,1,,
