league,round,team1,team2,dd,result,star,stadium,remark
CL,v2,NLfyn,FIjzz,19970813,6-2,-1,,
CL,v2,FIjzz,NLfyn,19970827,1-2,1,,
CL,gB,SKksc,G1mnu,19970917,0-3,,,
CL,gB,ITjuv,NLfyn,19970917,5-1,,,
CL,gB,NLfyn,SKksc,19971001,2-0,,,
CL,gB,G1mnu,ITjuv,19971001,3-2,,,
CL,gB,G1mnu,NLfyn,19971022,2-1,,,
CL,gB,SKksc,ITjuv,19971022,0-1,,,
CL,gB,NLfyn,G1mnu,19971105,1-3,,,
CL,gB,ITjuv,SKksc,19971105,3-2,,,
CL,gB,NLfyn,ITjuv,19971126,2-0,,,
CL,gB,G1mnu,SKksc,19971127,3-0,,,
CL,gB,SKksc,NLfyn,19971210,0-1,,,
CL,gB,ITjuv,G1mnu,19971210,1-0,,,
CL,gC,NLpsv,UAdkv,19970917,1-3,,,
CL,gC,G1nwc,ESbcl,19970917,3-2,,,
CL,gC,ESbcl,NLpsv,19971001,2-2,,,
CL,gC,UAdkv,G1nwc,19971001,2-2,,,
CL,gC,NLpsv,G1nwc,19971022,1-0,,,
CL,gC,UAdkv,ESbcl,19971022,3-0,,,
CL,gC,G1nwc,NLpsv,19971105,0-2,,,
CL,gC,ESbcl,UAdkv,19971105,0-4,,,
CL,gC,ESbcl,G1nwc,19971126,1-0,,,
CL,gC,UAdkv,NLpsv,19971127,1-1,,,
CL,gC,NLpsv,ESbcl,19971210,2-2,,,
CL,gC,G1nwc,UAdkv,19971210,2-0,,,
CL,4f,DEbmn,DEbdm,19980304,0-0,-1,,
CL,4f,DEbdm,DEbmn,19980318,1-0,4,,
CL,4f,DElvk,ESrmd,19980304,1-1,-1,,
CL,4f,ESrmd,DElvk,19980318,3-0,2,,
CL,4f,FRmnc,G1mnu,19980304,0-0,-1,,
CL,4f,G1mnu,FRmnc,19980318,1-1,1,,
CL,4f,ITjuv,UAdkv,19980304,1-1,-1,,
CL,4f,UAdkv,ITjuv,19980318,1-4,1,,
CL,2f,ESrmd,DEbdm,19980401,2-0,-1,,
CL,2f,DEbdm,ESrmd,19980415,0-0,1,,
CL,2f,ITjuv,FRmnc,19980401,4-1,-1,,
CL,2f,FRmnc,ITjuv,19980415,3-2,1,,
CL,f,ESrmd,ITjuv,19980520,1-0,1,Amsterdam (de Arena),De finale komt even in gevaar omdat Schiphol te weinig<br>start- en landingsrechten heeft om de bezoekers van de finale te verwerken.<br>De halve finale wedstrijd Real Madrid - Borussia Dortmund begint<br>75 minuten te laat door een omgetrokken doel.
EC2,round1,ILhbs,NLrdj,19970918,1-4,-1,,
EC2,round1,NLrdj,ILhbs,19971002,10-0,2,,
EC2,16f,SIprm,NLrdj,19971023,0-2,-1,,
EC2,16f,NLrdj,SIprm,19971106,4-0,2,,
EC2,4f,ESbsv,G1cls,19980305,1-2,-1,,
EC2,4f,G1cls,ESbsv,19980319,3-1,2,,
EC2,4f,NLrdj,ITvcn,19980305,1-4,-1,,
EC2,4f,ITvcn,NLrdj,19980319,5-0,2,,
EC2,4f,GRaek,RUlkm,19980305,0-0,-1,,
EC2,4f,RUlkm,GRaek,19980319,2-1,2,,
EC2,4f,CZslp,DEvfs,19980305,1-1,-1,,
EC2,4f,DEvfs,CZslp,19980319,2-0,2,,
EC2,2f,ITvcn,G1cls,19980402,1-0,-1,,
EC2,2f,G1cls,ITvcn,19980416,3-1,2,,
EC2,2f,DEvfs,RUlkm,19980402,2-1,-1,,
EC2,2f,RUlkm,DEvfs,19980416,0-1,1,,
EC2,f,G1cls,DEvfs,19980513,1-0,1,Stockholm,In de finale scoort Zola 20s nadat hij als invaller in het veld kwam.
UEFAcup,round1,SImrb,NLajx,19970916,1-1,-1,,
UEFAcup,round1,NLajx,SImrb,19970930,9-1,2,,
UEFAcup,round1,NLvit,PTbrg,19970916,2-1,-1,,
UEFAcup,round1,PTbrg,NLvit,19970930,2-0,2,,
UEFAcup,round1,NLtwn,NOlll,19970916,0-1,-1,,
UEFAcup,round1,NOlll,NLtwn,19970930,1-2,1,,
UEFAcup,16f,NLajx,ITudn,19971021,1-0,-1,,
UEFAcup,16f,ITudn,NLajx,19971104,2-1,1,,
UEFAcup,16f,DKarh,NLtwn,19971021,1-1,-1,,
UEFAcup,16f,NLtwn,DKarh,19971104,0-0,2,,
UEFAcup,round3,NLtwn,FRaux,19971125,0-1,-1,,
UEFAcup,round3,FRaux,NLtwn,19971209,2-0,2,,
UEFAcup,round3,NLajx,DEbcm,19971125,4-2,-1,,
UEFAcup,round3,DEbcm,NLajx,19971211,2-2,1,,
UEFAcup,4f,NLajx,RUsmk,19980303,1-3,-1,,
UEFAcup,4f,RUsmk,NLajx,19980317,1-0,2,,
UEFAcup,4f,ITiml,DEs04,19980303,1-0,-1,,
UEFAcup,4f,DEs04,ITiml,19980317,1-1,4,,
UEFAcup,4f,ITlzr,FRaux,19980303,1-0,-1,,
UEFAcup,4f,FRaux,ITlzr,19980317,2-2,1,,
UEFAcup,4f,ESamd,G1avl,19980303,1-0,-1,,
UEFAcup,4f,G1avl,ESamd,19980317,2-1,1,,
UEFAcup,2f,ITiml,RUsmk,19980331,2-1,-1,,
UEFAcup,2f,RUsmk,ITiml,19980414,1-2,1,,
UEFAcup,2f,ESamd,ITlzr,19980331,0-1,-1,,
UEFAcup,2f,ITlzr,ESamd,19980414,0-0,2,,
UEFAcup,f,ITiml,ITlzr,19980506,3-0,1,Parijs (Parc des Princes),
