league,round,team1,team2,dd,result,star,stadium
CL,v3,UAdkv,NLfyn,20120731,2-1,-1,
CL,v3,NLfyn,UAdkv,20120807,0-1,1,
CL,gD,DEbdm,NLajx,20120918,1-0,,
CL,gD,ESrmd,G1mnc,20120918,3-2,,
CL,gD,NLajx,ESrmd,20121003,1-4,,
CL,gD,G1mnc,DEbdm,20121003,1-1,,
CL,gD,NLajx,G1mnc,20121024,3-1,,
CL,gD,DEbdm,ESrmd,20121024,2-1,,
CL,gD,G1mnc,NLajx,20121106,2-2,,
CL,gD,ESrmd,DEbdm,20121106,2-2,,
CL,gD,NLajx,DEbdm,20121121,1-4,,
CL,gD,G1mnc,ESrmd,20121121,1-1,,
CL,gD,DEbdm,G1mnc,20121204,1-0,,
CL,gD,ESrmd,NLajx,20121204,4-1,,
CL,4f,DEbmn,ITjuv,20130402,2-0,-1,
CL,4f,ITjuv,DEbmn,20130410,0-2,1,
CL,4f,FRpsg,ESbcl,20130402,2-2,-1,
CL,4f,ESbcl,FRpsg,20130410,1-1,2,
CL,4f,ESmal,DEbdm,20130403,0-0,-1,
CL,4f,DEbdm,ESmal,20130409,3-2,2,
CL,4f,ESrmd,TRglt,20130403,3-0,-1,
CL,4f,TRglt,ESrmd,20130409,3-2,1,
CL,2f,DEbmn,ESbcl,20130423,4-0,-1,
CL,2f,ESbcl,DEbmn,20130501,0-3,1,
CL,2f,DEbdm,ESrmd,20130424,4-1,-1,
CL,2f,ESrmd,DEbdm,20130430,2-0,1,
CL,f,DEbdm,DEbmn,20130525,1-2,2,Londen; Wembly
EL,v1,NLtwn,ADscl,20120705,6-0,-1,
EL,v1,ADscl,NLtwn,20120712,0-3,1,
EL,v2,BGlpl,NLvit,20120719,4-4,-1,
EL,v2,NLvit,BGlpl,20120726,3-1,2,
EL,v2,NLtwn,FIitr,20120719,1-1,-1,
EL,v2,FIitr,NLtwn,20120726,0-5,1,
EL,v3,NLhrv,ROrpb,20120802,4-0,-1,
EL,v3,ROrpb,NLhrv,20120809,1-0,1,
EL,v3,RUamk,NLvit,20120802,2-0,-1,
EL,v3,NLvit,RUamk,20120809,0-2,1,
EL,v3,NLtwn,CZmbl,20120802,2-0,-1,
EL,v3,CZmbl,NLtwn,20120809,0-2,1,
EL,po,RUamk,NLaz1,20120823,1-0,-1,
EL,po,NLaz1,RUamk,20120830,0-5,1,
EL,po,NOmld,NLhrv,20120823,2-0,-1,
EL,po,NLhrv,NOmld,20120830,1-2,1,
EL,po,TRbrs,NLtwn,20120823,3-1,-1,
EL,po,NLtwn,TRbrs,20120830,4-1,4,
EL,po,NLfyn,CZspr,20120823,2-2,-1,
EL,po,CZspr,NLfyn,20120830,2-0,2,
EL,po,MEzet,NLpsv,20120823,0-5,-1,
EL,po,NLpsv,MEzet,20120830,9-0,2,
EL,gF,UAdjn,NLpsv,20120920,2-0,,
EL,gF,ITnpl,SEsln,20120920,4-0,,
EL,gF,NLpsv,ITnpl,20121004,3-0,,
EL,gF,SEsln,UAdjn,20121004,2-3,,
EL,gF,NLpsv,SEsln,20121025,1-1,,
EL,gF,UAdjn,ITnpl,20121025,3-1,,
EL,gF,SEsln,NLpsv,20121108,1-0,,
EL,gF,ITnpl,UAdjn,20121108,4-2,,
EL,gF,NLpsv,UAdjn,20121122,1-2,,
EL,gF,SEsln,ITnpl,20121122,1-2,,
EL,gF,ITnpl,NLpsv,20121206,1-3,,
EL,gF,UAdjn,SEsln,20121206,4-0,,
EL,gL,NLtwn,DEhan,20120920,2-2,,
EL,gL,ESlvn,SEhls,20120920,1-0,,
EL,gL,DEhan,ESlvn,20121004,2-1,,
EL,gL,SEhls,NLtwn,20121004,2-2,,
EL,gL,SEhls,DEhan,20121025,1-2,,
EL,gL,ESlvn,NLtwn,20121025,3-0,,
EL,gL,NLtwn,ESlvn,20121108,0-0,,
EL,gL,DEhan,SEhls,20121108,3-2,,
EL,gL,DEhan,NLtwn,20121122,0-0,,
EL,gL,SEhls,ESlvn,20121122,1-3,,
EL,gL,NLtwn,SEhls,20121206,1-3,,
EL,gL,ESlvn,DEhan,20121206,2-2,,
EL,16f,NLajx,ROstb,20130214,2-0,-1,
EL,16f,ROstb,NLajx,20130221,2-0,6,
EL,4f,TRfen,ITlzr,20130404,2-0,-1,
EL,4f,ITlzr,TRfen,20130411,1-1,1,
EL,4f,PTbnf,G1nwc,20130404,3-1,-1,
EL,4f,G1nwc,PTbnf,20130411,1-1,1,
EL,4f,G1ttt,CHbsl,20130404,2-2,-1,
EL,4f,CHbsl,G1ttt,20130411,2-2,6,
EL,4f,G1cls,RUrkz,20130404,3-1,-1,
EL,4f,RUrkz,G1cls,20130411,3-2,1,
EL,2f,TRfen,PTbnf,20130425,1-0,-1,
EL,2f,PTbnf,TRfen,20130502,3-1,2,
EL,2f,CHbsl,G1cls,20130425,1-2,-1,
EL,2f,G1cls,CHbsl,20130502,3-1,2,
EL,f,PTbnf,G1cls,20130515,1-2,2,Amsterdam Arena
