league,round,team1,team2,dd,result,star,remark,stadium
supercup,,FRpsg,G1ttt,20250813,2-2,5,,Udine
CL,v3,NLfyn,TRfen,20250806,2-1,,,
CL,v3,TRfen,NLfyn,20250812,5-2,2,,
CL,gA,NLpsv,BEusg,20250916,1-3,,,
CL,gA,ESbil,G1ars,20250916,0-2,,,
CL,gA,ITjuv,DEbdm,20250916,4-4,,,
CL,gA,ESrmd,FRomr,20250916,2-1,,,
CL,gA,PTbnf,AZkrb,20250916,2-3,,,
CL,gA,G1ttt,ESvlr,20250916,1-0,,,
CL,gA,GRolp,CYpfs,20250917,0-0,,,
CL,gA,CZslp,NObdg,20250917,2-2,,,
CL,gA,NLajx,ITiml,20250917,0-2,,,
CL,gA,DEbmn,G1cls,20250917,3-1,,,
CL,gA,G1lvp,ESamd,20250917,3-2,,,
CL,gA,FRpsg,ITatb,20250917,4-0,,,
CL,gA,BEcbr,FRmnc,20250918,4-1,,,
CL,gA,DKfkp,DElvk,20250918,2-2,,,
CL,gA,G1mnc,ITnpl,20250918,2-0,,,
CL,gA,G1nwc,ESbcl,20250918,1-2,,,
CL,gA,DEefr,TRglt,20250918,5-1,,,
CL,gA,PTspp,KZkal,20250918,4-1,,,
EL,v2,MDshf,NLutr,20250724,1-3,,,
EL,v2,NLutr,MDshf,20250731,4-1,2,,
EL,v3,CHser,NLutr,20250807,1-3,,,
EL,v3,NLutr,CHser,20250814,2-1,2,,
EL,po,BAzrn,NLutr,20250821,0-2,,,
EL,po,NLutr,BAzrn,20250828,0-0,2,,
CF,v2,FIilv,NLaz1,20250724,4-3,,,
CF,v2,NLaz1,FIilv,20250731,5-0,2,,
CF,v3,NLaz1,LIvdz,20250807,3-0,,,
CF,v3,LIvdz,NLaz1,20250814,0-1,1,,
CF,po,BGlsf,NLaz1,20250821,0-2,,,
CF,po,NLaz1,BGlsf,20250828,4-1,2,,
