league,round,team1,team2,dd,result,star,stadium
supercup,,ESbcl,ESsvl,20150811,5-4,3,Tbilisi
CL,v3,ATrwn,NLajx,20150729,2-2,-1,
CL,v3,NLajx,ATrwn,20150804,2-3,1,
CL,gB,NLpsv,G1mnu,20150915,2-1,,
CL,gB,DEvwl,RUcmk,20150915,1-0,,
CL,gB,RUcmk,NLpsv,20150929,3-2,,
CL,gB,G1mnu,DEvwl,20150929,2-1,,
CL,gB,DEvwl,NLpsv,20151021,2-0,,
CL,gB,RUcmk,G1mnu,20151021,1-1,,
CL,gB,NLpsv,DEvwl,20151103,2-0,,
CL,gB,G1mnu,RUcmk,20151103,1-0,,
CL,gB,G1mnu,NLpsv,20151125,0-0,,
CL,gB,RUcmk,DEvwl,20151125,0-2,,
CL,gB,NLpsv,RUcmk,20151208,2-1,,
CL,gB,DEvwl,G1mnu,20151208,3-2,,
CL,8f,BEaag,DEvwl,20160217,2-3,-1,
CL,8f,DEvwl,BEaag,20160308,1-0,2,
CL,8f,ITasr,ESrmd,20160217,0-2,-1,
CL,8f,ESrmd,ITasr,20160308,2-0,2,
CL,8f,FRpsg,G1cls,20160216,2-1,-1,
CL,8f,G1cls,FRpsg,20160309,1-2,1,
CL,8f,G1ars,ESbcl,20160223,0-2,-1,
CL,8f,ESbcl,G1ars,20160316,3-1,2,
CL,8f,ITjuv,DEbmn,20160223,2-2,-1,
CL,8f,DEbmn,ITjuv,20160316,4-2,2,
CL,8f,NLpsv,ESamd,20160224,0-0,-1,
CL,8f,ESamd,NLpsv,20160315,0-0,6,
CL,8f,PTbnf,RUzsp,20160216,1-0,-1,
CL,8f,RUzsp,PTbnf,20160309,1-2,1,
CL,8f,UAdkv,G1mnc,20160224,1-3,-1,
CL,8f,G1mnc,UAdkv,20160315,0-0,2,
CL,4f,FRpsg,G1mnc,20160406,2-2,-1,
CL,4f,G1mnc,FRpsg,20160412,1-0,2,
CL,4f,DEvwl,ESrmd,20160406,2-0,-1,
CL,4f,ESrmd,DEvwl,20160412,3-0,2,
CL,4f,ESbcl,ESamd,20160405,2-1,-1,
CL,4f,ESamd,ESbcl,20160413,2-0,2,
CL,4f,DEbmn,PTbnf,20160405,1-0,-1,
CL,4f,PTbnf,DEbmn,20160413,2-2,1,
CL,2f,G1mnc,ESrmd,20160426,0-0,-1,
CL,2f,ESrmd,G1mnc,20160504,1-0,2,
CL,2f,ESamd,DEbmn,20160427,1-0,-1,
CL,2f,DEbmn,ESamd,20160503,2-1,1,
CL,f,ESrmd,ESamd,20160528,1-1,5,Milaan
EL,v3,NLaz1,TRbkh,20150730,2-0,-1,
EL,v3,TRbkh,NLaz1,20150806,1-2,1,
EL,v3,G1sth,NLvit,20150730,3-0,-1,
EL,v3,NLvit,G1sth,20150806,0-2,1,
EL,po,NLajx,CZjbl,20150820,1-0,-1,
EL,po,CZjbl,NLajx,20150827,0-0,1,
EL,po,ROast,NLaz1,20150820,3-2,-1,
EL,po,NLaz1,ROast,20150827,2-0,2,
EL,gA,NLajx,G2clt,20150917,2-2,,
EL,gA,TRfen,NOmld,20150917,1-3,,
EL,gA,NOmld,NLajx,20151001,1-1,,
EL,gA,G2clt,TRfen,20151001,2-2,,
EL,gA,TRfen,NLajx,20151022,1-0,,
EL,gA,NOmld,G2clt,20151022,3-1,,
EL,gA,NLajx,TRfen,20151105,0-0,,
EL,gA,G2clt,NOmld,20151105,1-2,,
EL,gA,G2clt,NLajx,20151126,1-2,,
EL,gA,NOmld,TRfen,20151126,0-2,,
EL,gA,NLajx,NOmld,20151210,1-1,,
EL,gA,TRfen,G2clt,20151210,1-1,,
EL,gF,NLgrn,FRomr,20150917,0-3,,
EL,gF,CZsll,PTbrg,20150917,0-1,,
EL,gF,PTbrg,NLgrn,20151001,1-0,,
EL,gF,FRomr,CZsll,20151001,0-1,,
EL,gF,CZsll,NLgrn,20151022,1-1,,
EL,gF,PTbrg,FRomr,20151022,3-2,,
EL,gF,NLgrn,CZsll,20151105,0-1,,
EL,gF,FRomr,PTbrg,20151105,1-0,,
EL,gF,FRomr,NLgrn,20151126,2-1,,
EL,gF,PTbrg,CZsll,20151126,2-1,,
EL,gF,NLgrn,PTbrg,20151210,0-0,,
EL,gF,CZsll,FRomr,20151210,2-4,,
EL,gL,ESbil,DEabg,20150917,3-2,,
EL,gL,RSpbg,NLaz1,20150917,3-2,,
EL,gL,NLaz1,ESbil,20151001,2-1,,
EL,gL,DEabg,RSpbg,20151001,1-3,,
EL,gL,NLaz1,DEabg,20151022,0-1,,
EL,gL,RSpbg,ESbil,20151022,0-2,,
EL,gL,ESbil,RSpbg,20151105,5-1,,
EL,gL,DEabg,NLaz1,20151105,4-1,,
EL,gL,NLaz1,RSpbg,20151126,1-2,,
EL,gL,DEabg,ESbil,20151126,2-3,,
EL,gL,ESbil,NLaz1,20151210,2-2,,
EL,gL,RSpbg,DEabg,20151210,1-3,,
EL,4f,PTbrg,UAsdk,20160407,1-2,-1,
EL,4f,UAsdk,PTbrg,20160414,4-0,2,
EL,4f,ESbil,ESsvl,20160407,1-2,-1,
EL,4f,ESsvl,ESbil,20160414,1-2,6,
EL,4f,ESvlr,CZspr,20160407,2-1,-1,
EL,4f,CZspr,ESvlr,20160414,2-4,1,
EL,4f,DEbdm,G1lvp,20160407,1-1,-1,
EL,4f,G1lvp,DEbdm,20160414,4-3,2,
EL,2f,UAsdk,ESsvl,20160428,2-2,-1,
EL,2f,ESsvl,UAsdk,20160505,3-1,2,
EL,2f,ESvlr,G1lvp,20160428,1-0,-1,
EL,2f,G1lvp,ESvlr,20160505,3-0,2,
EL,f,G1lvp,ESsvl,20160518,1-3,2,Basel
