league,round,team1,team2,dd,result,star,stadium,remark
CL,v3,NLajx,G2clt,20010808,1-3,-1,,
CL,v3,G2clt,NLajx,20010822,0-1,2,,
CL,gD,FRnnt,NLpsv,20010911,4-1,,,
CL,gD,TRglt,ITlzr,20010911,1-0,,,
CL,gD,NLpsv,TRglt,20010919,3-1,,,
CL,gD,ITlzr,FRnnt,20010919,1-3,,,
CL,gD,NLpsv,ITlzr,20010926,1-0,,,
CL,gD,FRnnt,TRglt,20010926,0-1,,,
CL,gD,ITlzr,NLpsv,20011016,2-1,,,
CL,gD,TRglt,FRnnt,20011016,0-0,,,
CL,gD,NLpsv,FRnnt,20011024,0-0,,,
CL,gD,ITlzr,TRglt,20011024,1-0,,,
CL,gD,TRglt,NLpsv,20011030,2-0,,,
CL,gD,FRnnt,ITlzr,20011030,1-0,,,
CL,gH,RUsmk,NLfyn,20010918,2-2,,,
CL,gH,DEbmn,CZspr,20010918,0-0,,,
CL,gH,CZspr,NLfyn,20010925,4-0,,,
CL,gH,RUsmk,DEbmn,20010925,1-3,,,
CL,gH,NLfyn,DEbmn,20011010,2-2,,,
CL,gH,CZspr,RUsmk,20011010,2-0,,,
CL,gH,NLfyn,CZspr,20011017,0-2,,,
CL,gH,DEbmn,RUsmk,20011017,5-1,,,
CL,gH,DEbmn,NLfyn,20011023,3-1,,,
CL,gH,RUsmk,CZspr,20011023,2-2,,,
CL,gH,NLfyn,RUsmk,20011031,2-1,,,
CL,gH,CZspr,DEbmn,20011031,0-1,,,
CL,4f,DEbmn,ESrmd,20020402,2-1,-1,,
CL,4f,ESrmd,DEbmn,20020410,2-0,2,,
CL,4f,GRpnt,ESbcl,20020403,1-0,-1,,
CL,4f,ESbcl,GRpnt,20020409,3-1,2,,
CL,4f,ESdlc,G1mnu,20020402,1-2,-1,,
CL,4f,G1mnu,ESdlc,20020410,3-2,2,,
CL,4f,G1lvp,DElvk,20020403,1-0,-1,,
CL,4f,DElvk,G1lvp,20020409,4-2,2,,
CL,2f,ESbcl,ESrmd,20020423,0-2,-1,,
CL,2f,ESrmd,ESbcl,20020501,1-1,2,,
CL,2f,G1mnu,DElvk,20020424,2-2,-1,,
CL,2f,DElvk,G1mnu,20020430,1-1,2,,
CL,f,ESrmd,DElvk,20020515,2-1,1,Glasgow (Hampden Park),
UEFAcup,round1,NLrdj,ISfyl,20010911,3-0,-1,,
UEFAcup,round1,ISfyl,NLrdj,20010925,1-3,1,,
UEFAcup,round1,NLutr,ATgrz,20010920,3-0,-1,,
UEFAcup,round1,ATgrz,NLutr,20010927,3-3,1,,
UEFAcup,round1,NLajx,CYapp,20010920,2-0,-1,,
UEFAcup,round1,CYapp,NLajx,20010927,0-3,1,,
UEFAcup,round1,PLplw,NLtwn,20010920,1-2,-1,,
UEFAcup,round1,NLtwn,PLplw,20010927,2-0,2,,
UEFAcup,16f,NLrdj,ILmta,20011016,4-1,-1,,
UEFAcup,16f,ILmta,NLrdj,20011101,2-1,1,,
UEFAcup,16f,DKfkp,NLajx,20011018,0-0,-1,,
UEFAcup,16f,NLajx,DKfkp,20011101,0-1,1,,
UEFAcup,16f,NLutr,ITprm,20011018,1-3,-1,,
UEFAcup,16f,ITprm,NLutr,20011101,0-0,2,,
UEFAcup,16f,CHgrs,NLtwn,20011018,4-1,-1,,
UEFAcup,16f,NLtwn,CHgrs,20011101,4-2,1,,
UEFAcup,round3,GRpks,NLpsv,20011122,3-2,-1,,
UEFAcup,round3,NLpsv,GRpks,20011206,4-1,2,,
UEFAcup,round3,NLfyn,DEfrb,20011122,1-0,-1,,
UEFAcup,round3,DEfrb,NLfyn,20011206,2-2,1,,
UEFAcup,round3,FRgbr,NLrdj,20011120,1-0,-1,,
UEFAcup,round3,NLrdj,FRgbr,20011204,2-0,2,,
UEFAcup,8f,NLrdj,ITmln,20020219,0-1,-1,,
UEFAcup,8f,ITmln,NLrdj,20020228,0-1,6,,
UEFAcup,8f,NLpsv,G1lds,20020221,0-0,-1,,
UEFAcup,8f,G1lds,NLpsv,20020228,0-1,1,,
UEFAcup,8f,G2glr,NLfyn,20020221,1-1,-1,,
UEFAcup,8f,NLfyn,G2glr,20020228,3-2,2,,
UEFAcup,4f,ITiml,ESval,20020314,1-1,-1,,
UEFAcup,4f,ESval,ITiml,20020321,0-1,1,,
UEFAcup,4f,NLpsv,NLfyn,20020314,1-1,-1,,
UEFAcup,4f,NLfyn,NLpsv,20020321,1-1,6,,
UEFAcup,4f,ILhta,ITmln,20020314,1-0,-1,,Eerste wedstrijd op Cyprus (Nicosia)
UEFAcup,4f,ITmln,ILhta,20020321,2-0,2,,
UEFAcup,4f,CZsll,DEbdm,20020314,0-0,-1,,
UEFAcup,4f,DEbdm,CZsll,20020321,4-0,2,,
UEFAcup,2f,ITiml,NLfyn,20020404,0-1,-1,,
UEFAcup,2f,NLfyn,ITiml,20020411,2-2,2,,
UEFAcup,2f,DEbdm,ITmln,20020404,4-0,-1,,
UEFAcup,2f,ITmln,DEbdm,20020411,3-1,1,,
UEFAcup,f,NLfyn,DEbdm,20020508,3-2,1,Rotterdam (De Kuip),
