league,round,team1,team2,dd,result,star,stadium
supercup,,DEbmn,G1cls,20130830,1-1,5,
CL,v3,NLpsv,BEzwr,20130730,2-0,-1,
CL,v3,BEzwr,NLpsv,20130807,0-3,1,
CL,po,NLpsv,ITmln,20130820,1-1,-1,
CL,po,ITmln,NLpsv,20130828,3-0,2,
CL,gH,ITmln,G2clt,20130918,2-0,,
CL,gH,ESbcl,NLajx,20130918,4-0,,
CL,gH,NLajx,ITmln,20131001,1-1,,
CL,gH,G2clt,ESbcl,20131001,0-1,,
CL,gH,G2clt,NLajx,20131022,2-1,,
CL,gH,ITmln,ESbcl,20131022,1-1,,
CL,gH,NLajx,G2clt,20131106,1-0,,
CL,gH,ESbcl,ITmln,20131106,3-1,,
CL,gH,NLajx,ESbcl,20131126,2-1,,
CL,gH,G2clt,ITmln,20131126,0-3,,
CL,gH,ITmln,NLajx,20131211,0-0,,
CL,gH,ESbcl,G2clt,20131211,6-1,,
CL,4f,ESrmd,DEbdm,20140402,3-0,-1,
CL,4f,DEbdm,ESrmd,20140408,2-0,1,
CL,4f,G1mnu,DEbmn,20140401,1-1,-1,
CL,4f,DEbmn,G1mnu,20140409,3-1,2,
CL,4f,ESbcl,ESamd,20140401,1-1,-1,
CL,4f,ESamd,ESbcl,20140409,1-0,2,
CL,4f,FRpsg,G1cls,20140402,3-1,-1,
CL,4f,G1cls,FRpsg,20140408,2-0,2,
CL,2f,ESrmd,DEbmn,20140423,1-0,-1,
CL,2f,DEbmn,ESrmd,20140429,0-4,1,
CL,2f,ESamd,G1cls,20140422,0-0,-1,
CL,2f,G1cls,ESamd,20140430,1-3,1,
CL,f,ESrmd,ESamd,20140524,4-1,3,Lissabon
EL,v2,LUdff,NLutr,20130718,2-1,-1,
EL,v2,NLutr,LUdff,20130725,3-3,1,
EL,v3,ROpll,NLvit,20130801,1-1,-1,
EL,v3,NLvit,ROpll,20130808,1-2,1,
EL,po,RUkkr,NLfyn,20130822,1-0,-1,
EL,po,NLfyn,RUkkr,20130829,1-2,1,
EL,po,GRatr,NLaz1,20130822,1-3,-1,
EL,po,NLaz1,GRatr,20130829,0-2,2,
EL,gB,NLpsv,BGldg,20130919,0-2,,
EL,gB,HRdzg,UAcod,20130919,1-2,,
EL,gB,UAcod,NLpsv,20131003,0-2,,
EL,gB,BGldg,HRdzg,20131003,3-0,,
EL,gB,HRdzg,NLpsv,20131024,0-0,,
EL,gB,UAcod,BGldg,20131024,0-1,,
EL,gB,NLpsv,HRdzg,20131107,2-0,,
EL,gB,BGldg,UAcod,20131107,1-1,,
EL,gB,BGldg,NLpsv,20131128,2-0,,
EL,gB,UAcod,HRdzg,20131128,2-1,,
EL,gB,NLpsv,UAcod,20131212,0-1,,
EL,gB,HRdzg,BGldg,20131212,1-2,,
EL,gL,ILmhf,NLaz1,20130919,0-1,,
EL,gL,GRpks,KZskr,20130919,2-1,,
EL,gL,NLaz1,GRpks,20131003,1-1,,
EL,gL,KZskr,ILmhf,20131003,2-2,,
EL,gL,KZskr,NLaz1,20131024,1-1,,
EL,gL,GRpks,ILmhf,20131024,3-2,,
EL,gL,NLaz1,KZskr,20131107,1-0,,
EL,gL,ILmhf,GRpks,20131107,0-0,,
EL,gL,NLaz1,ILmhf,20131128,2-0,,
EL,gL,KZskr,GRpks,20131128,0-2,,
EL,gL,ILmhf,KZskr,20131212,2-1,,
EL,gL,GRpks,NLaz1,20131212,2-2,,
EL,16f,NLajx,ATrbs,20140220,0-3,-1,
EL,16f,ATrbs,NLajx,20140227,3-1,2,
EL,16f,CZsll,NLaz1,20140220,0-1,-1,
EL,16f,NLaz1,CZsll,20140227,1-1,1,
EL,8f,NLaz1,RUamk,20140313,1-0,-1,
EL,8f,RUamk,NLaz1,20140320,0-0,1,
EL,4f,PTpor,ESsvl,20140403,1-0,-1,
EL,4f,ESsvl,PTpor,20140410,4-1,2,
EL,4f,CHbsl,ESval,20140403,3-0,-1,
EL,4f,ESval,CHbsl,20140410,5-0,2,
EL,4f,NLaz1,PTbnf,20140403,0-1,-1,
EL,4f,PTbnf,NLaz1,20140410,2-0,2,
EL,4f,FRoly,ITjuv,20140403,0-1,-1,
EL,4f,ITjuv,FRoly,20140410,2-1,2,
EL,2f,ESsvl,ESval,20140424,2-0,-1,
EL,2f,ESval,ESsvl,20140501,3-1,1,
EL,2f,PTbnf,ITjuv,20140424,2-1,-1,
EL,2f,ITjuv,PTbnf,20140501,0-0,1,
EL,f,ESsvl,PTbnf,20140514,0-0,5,Turijn
