league,round,team1,team2,dd,result,star,stadium,remark
supercup,,PTpor,ESval,20040827,1-2,2,Monaco,
CL,v3,RSrsb,NLpsv,20040811,3-2,-1,,
CL,v3,NLpsv,RSrsb,20040825,5-0,2,,
CL,gC,NLajx,ITjuv,20040915,0-1,,,
CL,gC,ILmta,DEbmn,20040915,0-1,,,
CL,gC,DEbmn,NLajx,20040928,4-0,,,
CL,gC,ITjuv,ILmta,20040928,1-0,,,
CL,gC,NLajx,ILmta,20041019,3-0,,,
CL,gC,ITjuv,DEbmn,20041019,1-0,,,
CL,gC,ILmta,NLajx,20041103,2-1,,,
CL,gC,DEbmn,ITjuv,20041103,0-1,,,
CL,gC,ITjuv,NLajx,20041123,1-0,,,
CL,gC,DEbmn,ILmta,20041123,5-1,,,
CL,gC,NLajx,DEbmn,20041208,2-2,,,
CL,gC,ILmta,ITjuv,20041208,1-1,,,
CL,gE,G1ars,NLpsv,20040914,1-0,,,
CL,gE,GRpnt,NOros,20040914,2-1,,,
CL,gE,NLpsv,GRpnt,20040929,1-0,,,
CL,gE,NOros,G1ars,20040929,1-1,,,
CL,gE,NOros,NLpsv,20041020,1-2,,,
CL,gE,GRpnt,G1ars,20041020,2-2,,,
CL,gE,NLpsv,NOros,20041102,1-0,,,
CL,gE,G1ars,GRpnt,20041102,1-1,,,
CL,gE,NLpsv,G1ars,20041124,1-1,,,
CL,gE,NOros,GRpnt,20041124,2-2,,,
CL,gE,GRpnt,NLpsv,20041207,4-1,,,
CL,gE,G1ars,NOros,20041207,5-1,,,
CL,8f,ESrmd,ITjuv,20050222,1-0,-1,,
CL,8f,ITjuv,ESrmd,20050309,2-0,4,,
CL,8f,G1lvp,DElvk,20050222,3-1,-1,,
CL,8f,DElvk,G1lvp,20050309,1-3,1,,
CL,8f,NLpsv,FRmnc,20050222,1-0,-1,,
CL,8f,FRmnc,NLpsv,20050309,0-2,1,,
CL,8f,DEbmn,G1ars,20050222,3-1,-1,,
