league,round,team1,team2,dd,result,star,stadium
supercup,,ITmln,ESsvl,20070831,3-1,1,
CL,v3,NLajx,CZslp,20070815,0-1,-1,
CL,v3,CZslp,NLajx,20070829,2-1,2,
CL,gG,NLpsv,RUcmk,20070919,2-1,,
CL,gG,TRfen,ITiml,20070919,1-0,,
CL,gG,ITiml,NLpsv,20071002,2-0,,
CL,gG,RUcmk,TRfen,20071002,2-2,,
CL,gG,NLpsv,TRfen,20071023,0-0,,
CL,gG,RUcmk,ITiml,20071023,1-2,,
CL,gG,TRfen,NLpsv,20071107,2-0,,
CL,gG,ITiml,RUcmk,20071107,4-2,,
CL,gG,RUcmk,NLpsv,20071127,0-1,,
CL,gG,ITiml,TRfen,20071127,3-0,,
CL,gG,NLpsv,ITiml,20071212,0-1,,
CL,gG,TRfen,RUcmk,20071212,3-1,,
CL,8f,G1lvp,ITiml,20080219,2-0,-1,
CL,8f,ITiml,G1lvp,20080311,0-1,1,
CL,8f,DEs04,PTpor,20080219,1-0,-1,
CL,8f,PTpor,DEs04,20080305,1-0,5,
CL,8f,ITasr,ESrmd,20080219,2-1,-1,
CL,8f,ESrmd,ITasr,20080305,1-2,1,
CL,8f,GRolp,G1cls,20080219,0-0,-1,
CL,8f,G1cls,GRolp,20080305,3-0,2,
CL,8f,G2clt,ESbcl,20080220,2-3,-1,
CL,8f,ESbcl,G2clt,20080304,1-0,2,
CL,8f,FRoly,G1mnu,20080220,1-1,-1,
CL,8f,G1mnu,FRoly,20080304,1-0,2,
CL,8f,G1ars,ITmln,20080220,0-0,-1,
CL,8f,ITmln,G1ars,20080304,0-2,1,
CL,8f,TRfen,ESsvl,20080220,3-2,-1,
CL,8f,ESsvl,TRfen,20080304,3-2,5,
CL,4f,G1ars,G1lvp,20080402,1-1,-1,
CL,4f,G1lvp,G1ars,20080408,4-2,2,
CL,4f,TRfen,G1cls,20080402,2-1,-1,
CL,4f,G1cls,TRfen,20080408,2-0,2,
CL,4f,ITasr,G1mnu,20080401,0-2,-1,
CL,4f,G1mnu,ITasr,20080409,1-0,2,
CL,4f,DEs04,ESbcl,20080401,0-1,-1,
CL,4f,ESbcl,DEs04,20080409,1-0,2,
CL,2f,G1lvp,G1cls,20080422,1-1,-1,
CL,2f,G1cls,G1lvp,20080430,3-2,4,
CL,2f,ESbcl,G1mnu,20080423,0-0,-1,
CL,2f,G1mnu,ESbcl,20080429,1-0,2,
CL,f,G1mnu,G1cls,20080521,1-1,5,Moskou
UEFAcup,round1,HRdzg,NLajx,20070920,0-1,-1,
UEFAcup,round1,NLajx,HRdzg,20071004,2-3,3,
UEFAcup,round1,PTpcs,NLaz1,20070920,0-1,-1,
UEFAcup,round1,NLaz1,PTpcs,20071004,0-0,2,
UEFAcup,round1,ESgtf,NLtwn,20070920,1-0,-1,
UEFAcup,round1,NLtwn,ESgtf,20071004,3-2,3,
UEFAcup,round1,NLgrn,ITfrt,20070920,1-1,-1,
UEFAcup,round1,ITfrt,NLgrn,20071004,1-1,6,
UEFAcup,round1,NLhrv,SEhls,20070920,5-3,-1,
UEFAcup,round1,SEhls,NLhrv,20071004,5-1,2,
UEFAcup,gA,RUzsp,NLaz1,20071025,1-1,,
UEFAcup,gA,G1evr,GRlar,20071025,3-1,,
UEFAcup,gA,GRlar,RUzsp,20071108,2-3,,
UEFAcup,gA,DEnrn,G1evr,20071108,0-2,,
UEFAcup,gA,NLaz1,GRlar,20071129,1-0,,
UEFAcup,gA,RUzsp,DEnrn,20071129,2-2,,
UEFAcup,gA,DEnrn,NLaz1,20071205,2-1,,
UEFAcup,gA,G1evr,RUzsp,20071205,1-0,,
UEFAcup,gA,NLaz1,G1evr,20071220,2-3,,
UEFAcup,gA,GRlar,DEnrn,20071220,1-3,,
UEFAcup,round3,NLpsv,SEhls,20080213,2-0,-1,
UEFAcup,round3,SEhls,NLpsv,20080221,1-2,1,
UEFAcup,8f,G1ttt,NLpsv,20080306,0-1,-1,
UEFAcup,8f,NLpsv,G1ttt,20080312,0-1,6,
UEFAcup,4f,ITfrt,NLpsv,20080403,1-1,-1,
UEFAcup,4f,NLpsv,ITfrt,20080410,0-2,1,
UEFAcup,4f,G2glr,PTspl,20080403,0-0,-1,
UEFAcup,4f,PTspl,G2glr,20080410,0-2,1,
UEFAcup,4f,DElvk,RUzsp,20080403,1-4,-1,
UEFAcup,4f,RUzsp,DElvk,20080410,0-1,2,
UEFAcup,4f,DEbmn,ESgtf,20080403,1-1,-1,
UEFAcup,4f,ESgtf,DEbmn,20080410,3-3,1,
UEFAcup,2f,G2glr,ITfrt,20080424,0-0,-1,
UEFAcup,2f,ITfrt,G2glr,20080501,0-0,5,
UEFAcup,2f,DEbmn,RUzsp,20080424,1-1,-1,
UEFAcup,2f,RUzsp,DEbmn,20080501,4-0,2,
UEFAcup,f,RUzsp,G2glr,20080514,2-0,1,Manchester
