league,round,team1,team2,dd,result,star,remark
supercup,,G1cls,ESvlr,20210811,1-1,5,
CL,v2,NLpsv,TRglt,20210721,5-1,,
CL,v2,TRglt,NLpsv,20210728,1-2,1,
CL,v3,NLpsv,DKmdl,20210803,3-0,,
CL,v3,DKmdl,NLpsv,20210810,0-1,1,
CL,po,PTbnf,NLpsv,20210818,2-1,,
CL,po,NLpsv,PTbnf,20210824,0-0,1,
CL,gC,PTspp,NLajx,20210915,1-5,,4x Haller
CL,gC,TRbsk,DEbdm,20210915,1-2,,
CL,gC,NLajx,TRbsk,20210928,2-0,,
CL,gC,DEbdm,PTspp,20210928,1-0,,
CL,gC,NLajx,DEbdm,20211019,4-0,,
CL,gC,TRbsk,PTspp,20211019,1-4,,
CL,gC,DEbdm,NLajx,20211103,1-3,,
CL,gC,PTspp,TRbsk,20211103,4-0,,
CL,gC,TRbsk,NLajx,20211124,1-2,,
CL,gC,PTspp,DEbdm,20211124,3-1,,
CL,gC,NLajx,PTspp,20211207,4-2,,
CL,gC,DEbdm,TRbsk,20211207,5-0,,
CL,8f,PTbnf,NLajx,20220223,2-2,,
CL,8f,NLajx,PTbnf,20220315,0-1,1,
CL,4f,G1mnc,ESamd,20220405,1-0,,
CL,4f,G1cls,ESrmd,20220406,1-3,,
CL,4f,PTbnf,G1lvp,20220405,1-3,,
CL,4f,ESvlr,DEbmn,20220406,1-0,,
CL,4f,ESamd,G1mnc,20220413,0-0,1,
CL,4f,G1lvp,PTbnf,20220413,3-3,2,
CL,4f,ESrmd,G1cls,20220412,2-3,2,
CL,4f,DEbmn,ESvlr,20220412,1-1,1,
CL,2f,G1mnc,ESrmd,26/27 apr,-,,
CL,2f,G1lvp,ESvlr,26/27 apr,-,,
EL,po,G2clt,NLaz1,20210818,2-0,,
EL,po,NLaz1,G2clt,20210826,2-1,1,
EL,gB,NLpsv,ESrsc,20210916,2-2,,
EL,gB,FRmnc,ATstg,20210916,1-0,,
EL,gB,ESrsc,FRmnc,20210930,1-1,,
EL,gB,ATstg,NLpsv,20210930,1-4,,
EL,gB,NLpsv,FRmnc,20211021,1-2,,
EL,gB,ATstg,ESrsc,20211021,0-1,,
EL,gB,ESrsc,ATstg,20211104,1-1,,
EL,gB,FRmnc,NLpsv,20211104,0-0,,
EL,gB,NLpsv,ATstg,20211125,2-0,,
EL,gB,FRmnc,ESrsc,20211125,2-1,,
EL,gB,ESrsc,NLpsv,20211209,3-0,,
EL,gB,ATstg,FRmnc,20211209,1-1,,
EL,4f,G1whu,FRoly,20220407,1-1,,
EL,4f,DEefr,ESbcl,20220407,1-1,,
EL,4f,DElpz,ITatb,20220407,1-1,,
EL,4f,PTbrg,G2glr,20220407,1-0,,
EL,4f,ITatb,DElpz,20220414,0-2,1,
EL,4f,ESbcl,DEefr,20220414,2-3,1,
EL,4f,FRoly,G1whu,20220414,0-3,1,
EL,4f,G2glr,PTbrg,20220414,3-1,2,
EL,2f,G1whu,DEefr,20220428,-,,
EL,2f,DElpz,G2glr,20220428,-,,
CF,v2,XKdrt,NLfyn,20210722,0-0,,
CF,v2,NLfyn,XKdrt,20210729,3-2,2,
CF,v3,NLvit,IEdnd,20210805,2-2,,
CF,v3,CHlzr,NLfyn,20210805,0-3,,
CF,v3,NLfyn,CHlzr,20210812,3-0,2,
CF,v3,IEdnd,NLvit,20210812,1-2,1,
CF,po,NLfyn,SEelf,20210819,5-0,,
CF,po,BEand,NLvit,20210819,3-3,,
CF,po,SEelf,NLfyn,20210826,3-1,1,
CF,po,NLvit,BEand,20210826,2-0,2,
CF,gD,DKrnd,NLaz1,20210916,2-2,,
CF,gD,CZjbl,ROcfr,20210916,1-0,,
CF,gD,NLaz1,CZjbl,20210930,1-0,,
CF,gD,ROcfr,DKrnd,20210930,1-1,,
CF,gD,ROcfr,NLaz1,20211021,0-1,,
CF,gD,CZjbl,DKrnd,20211021,2-2,,
CF,gD,NLaz1,ROcfr,20211104,2-0,,
CF,gD,DKrnd,CZjbl,20211104,2-2,,
CF,gD,CZjbl,NLaz1,20211125,1-1,,
CF,gD,DKrnd,ROcfr,20211125,2-1,,
CF,gD,NLaz1,DKrnd,20211209,1-0,,
CF,gD,ROcfr,CZjbl,20211209,2-0,,
CF,gE,ILmhf,NLfyn,20210914,0-0,,
CF,gE,CZslp,DEubl,20210916,3-1,,
CF,gE,DEubl,ILmhf,20210930,3-0,,
CF,gE,NLfyn,CZslp,20210930,2-1,,
CF,gE,NLfyn,DEubl,20211021,3-1,,
CF,gE,ILmhf,CZslp,20211021,1-0,,
CF,gE,DEubl,NLfyn,20211104,1-2,,
CF,gE,CZslp,ILmhf,20211104,1-0,,
CF,gE,ILmhf,DEubl,20211125,0-1,,
CF,gE,CZslp,NLfyn,20211125,2-2,,
CF,gE,DEubl,CZslp,20211209,1-1,,
CF,gE,NLfyn,ILmhf,20211209,2-1,,
CF,gG,SInsm,NLvit,20210916,0-2,,
CF,gG,FRrnn,G1ttt,20210916,2-2,,
CF,gG,NLvit,FRrnn,20210930,1-2,,
CF,gG,G1ttt,SInsm,20210930,5-1,,
CF,gG,NLvit,G1ttt,20211021,1-0,,
CF,gG,SInsm,FRrnn,20211021,1-2,,
CF,gG,G1ttt,NLvit,20211104,3-2,,
CF,gG,FRrnn,SInsm,20211104,1-0,,
CF,gG,FRrnn,NLvit,20211125,3-3,,
CF,gG,SInsm,G1ttt,20211125,2-1,,
CF,gG,NLvit,SInsm,20211209,3-1,,
CF,gG,G1ttt,FRrnn,20211209,0-3,,reglementaire nederlaag
CF,8f,NLvit,ITasr,20220310,0-1,,
CF,8f,NLpsv,DKfkp,20220310,4-4,,
CF,8f,NObdg,NLaz1,20220310,2-1,,
CF,8f,RSpbg,NLfyn,20220310,2-5,,
CF,8f,ITasr,NLvit,20220317,1-1,2,
CF,8f,DKfkp,NLpsv,20220317,0-4,1,
CF,8f,NLaz1,NObdg,20220317,2-2,3,
CF,8f,NLfyn,RSpbg,20220317,3-1,2,
CF,4f,G1lcc,NLpsv,20220407,0-0,,
CF,4f,NObdg,ITasr,20220407,2-1,,
CF,4f,NLfyn,CZslp,20220407,3-3,,
CF,4f,FRomr,GRpks,20220407,2-1,,
CF,4f,NLpsv,G1lcc,20220414,1-2,1,
CF,4f,CZslp,NLfyn,20220414,1-3,1,
CF,4f,ITasr,NObdg,20220414,4-0,2,
CF,4f,GRpks,FRomr,20220414,0-1,1,
CF,2f,G1lcc,ITasr,20220428,-,,
CF,2f,NLfyn,FRomr,20220428,-,,
