league,round,team1,team2,dd,result,star,stadium,remark
CL,v3,MDzmc,NLpsv,19990811,0-0,-1,,
CL,v3,NLpsv,MDzmc,19990825,2-0,2,,
CL,gC,NLfyn,DEbdm,19990914,1-1,,,
CL,gC,PTboa,NOros,19990914,0-3,,,
CL,gC,NOros,NLfyn,19990922,2-2,,,
CL,gC,DEbdm,PTboa,19990922,3-1,,,
CL,gC,PTboa,NLfyn,19990929,1-1,,,
CL,gC,NOros,DEbdm,19990929,2-2,,,
CL,gC,NLfyn,PTboa,19991019,1-1,,,
CL,gC,DEbdm,NOros,19991019,0-3,,,
CL,gC,DEbdm,NLfyn,19991027,1-1,,,
CL,gC,NOros,PTboa,19991027,2-0,,,
CL,gC,NLfyn,NOros,19991102,1-0,,,
CL,gC,PTboa,DEbdm,19991102,1-0,,,
CL,gF,DEbmn,NLpsv,19990915,2-1,,,
CL,gF,ESval,G2glr,19990915,2-0,,,
CL,gF,NLpsv,ESval,19990921,1-1,,,
CL,gF,G2glr,DEbmn,19990921,1-1,,,
CL,gF,NLpsv,G2glr,19990928,0-1,,,
CL,gF,DEbmn,ESval,19990928,1-1,,,
CL,gF,G2glr,NLpsv,19991020,4-1,,,
CL,gF,ESval,DEbmn,19991020,1-1,,,
CL,gF,NLpsv,DEbmn,19991026,2-1,,,
CL,gF,G2glr,ESval,19991026,1-2,,,
CL,gF,ESval,NLpsv,19991103,1-0,,,
CL,gF,DEbmn,G2glr,19991103,1-0,,,
CL,gG,NLwl2,RUsmk,19990915,1-3,,,
CL,gG,CZspr,FRgbr,19990915,0-0,,,
CL,gG,FRgbr,NLwl2,19990921,3-2,,,
CL,gG,RUsmk,CZspr,19990921,1-1,,,
CL,gG,CZspr,NLwl2,19990928,4-0,,,
CL,gG,FRgbr,RUsmk,19990928,2-1,,,
CL,gG,NLwl2,CZspr,19991020,3-4,,,
CL,gG,RUsmk,FRgbr,19991020,1-2,,,
CL,gG,RUsmk,NLwl2,19991026,1-1,,,
CL,gG,FRgbr,CZspr,19991026,0-0,,,
CL,gG,NLwl2,FRgbr,19991103,0-0,,,
CL,gG,CZspr,RUsmk,19991103,5-2,,,
CL,group2D,G1cls,NLfyn,19991124,3-1,,,
CL,group2D,FRomr,ITlzr,19991124,0-2,,,
CL,group2D,NLfyn,FRomr,19991207,3-0,,,
CL,group2D,ITlzr,G1cls,19991207,0-0,,,
CL,group2D,ITlzr,NLfyn,20000229,1-2,,,
CL,group2D,FRomr,G1cls,20000229,1-0,,,
CL,group2D,NLfyn,ITlzr,20000308,0-0,,,
CL,group2D,G1cls,FRomr,20000308,1-0,,,
CL,group2D,NLfyn,G1cls,20000314,1-3,,,
CL,group2D,ITlzr,FRomr,20000314,5-1,,,
CL,group2D,FRomr,NLfyn,20000322,0-0,,,
CL,group2D,G1cls,ITlzr,20000322,1-2,,,
CL,4f,PTpor,DEbmn,20000404,1-1,-1,,
CL,4f,DEbmn,PTpor,20000419,2-1,2,,
CL,4f,ESrmd,G1mnu,20000404,0-0,-1,,
CL,4f,G1mnu,ESrmd,20000419,2-3,1,,
CL,4f,G1cls,ESbcl,20000405,3-1,-1,,
CL,4f,ESbcl,G1cls,20000418,5-1,4,,
CL,4f,ESval,ITlzr,20000405,5-2,-1,,
CL,4f,ITlzr,ESval,20000418,1-0,1,,
CL,2f,ESrmd,DEbmn,20000503,2-0,-1,,
CL,2f,DEbmn,ESrmd,20000509,2-1,1,,
CL,2f,ESval,ESbcl,20000502,4-1,-1,,
CL,2f,ESbcl,ESval,20000510,2-2,1,,
CL,f,ESrmd,ESval,20000524,3-0,1,Parijs St. Denis (Stade de France),
UEFAcup,round1,NLajx,SKdbb,19990916,6-1,-1,,
UEFAcup,round1,SKdbb,NLajx,19990930,1-3,1,,
UEFAcup,round1,PTbmr,NLvit,19990916,1-2,-1,,
UEFAcup,round1,NLvit,PTbmr,19990930,0-0,2,,
UEFAcup,round1,NLrdj,UAsdk,19990916,2-0,-1,,
UEFAcup,round1,UAsdk,NLrdj,19990930,1-3,1,,
UEFAcup,16f,ILhhf,NLajx,19991021,0-3,-1,,
UEFAcup,16f,NLajx,ILhhf,19991104,0-1,2,,
UEFAcup,16f,NLrdj,DEvwl,19991021,0-0,-1,,
UEFAcup,16f,DEvwl,NLrdj,19991102,1-0,2,,
UEFAcup,16f,FRrcl,NLvit,19991028,4-1,-1,,
UEFAcup,16f,NLvit,FRrcl,19991104,1-1,1,,
UEFAcup,round3,NLajx,ESmlr,19991125,0-1,-1,,
UEFAcup,round3,ESmlr,NLajx,19991209,2-0,2,,
UEFAcup,4f,G1lds,CZslp,20000316,3-0,-1,,
UEFAcup,4f,CZslp,G1lds,20000323,2-1,1,,
UEFAcup,4f,ESmlr,TRglt,20000316,1-4,-1,,
UEFAcup,4f,TRglt,ESmlr,20000323,2-1,2,,
UEFAcup,4f,EScdv,FRrcl,20000316,0-0,-1,,
UEFAcup,4f,FRrcl,EScdv,20000323,2-1,2,,
UEFAcup,4f,G1ars,DEwbr,20000316,2-0,-1,,
UEFAcup,4f,DEwbr,G1ars,20000323,2-4,1,,
UEFAcup,2f,TRglt,G1lds,20000406,2-0,-1,,
UEFAcup,2f,G1lds,TRglt,20000420,2-2,1,,
UEFAcup,2f,G1ars,FRrcl,20000406,1-0,-1,,
UEFAcup,2f,FRrcl,G1ars,20000420,1-2,1,,
UEFAcup,f,TRglt,G1ars,20000517,0-0,5,Kopenhagen,De wedstrijd Galatasaray-Leeds United wordt voorafgegaan<br>door ernstige rellen waarbij twee Engelsen omkomen.
