league,round,team1,team2,dd,result,star,remark,stadium
supercup,,FRpsg,G1avl,20260812,2-1,1,,Salzburg
CL,v3,GRolp,NLnec,20260804,0-0,,,
CL,v3,NLnec,GRolp,20260811,2-1,4,,
CL,po,NLnec,NObdg,20260818,1-3,,,
CL,po,NObdg,NLnec,20260825,3-0,2,,
CL,gA,GRaek,ATlnz,20260908,1-0,,,
CL,gA,BEcbr,G1avl,20260908,2-3,,,
CL,gA,DEbdm,ESvlr,20260908,3-2,,,
CL,gA,PTpor,G1mnc,20260908,0-2,,,
CL,gA,FRlll,ESbsv,20260908,2-3,,,
CL,gA,ESrmd,ITiml,20260908,2-1,,,
CL,gA,ESbcl,NLfyn,20260909,5-1,,,
CL,gA,DEvfs,NOvik,20260909,3-1,,,
CL,gA,G1lvp,ESamd,20260909,2-1,,,
CL,gA,ITnpl,G1ars,20260909,0-1,,,
CL,gA,FRpsg,SKsbr,20260909,6-1,,,
CL,gA,PTspp,TRglt,20260909,3-1,,,
CL,gA,NLpsv,UAsdk,20260910,1-1,,,
CL,gA,TRfen,ITasr,20260910,1-1,,,
CL,gA,G1mnu,AZsbh,20260910,4-0,,,
CL,gA,DEbmn,NObdg,20260910,5-0,,,
CL,gA,ITcom,DElpz,20260910,4-1,,,
CL,gA,CZslp,FRrcl,20260910,2-3,,,
EL,v2,NLtwn,HUfrv,20260723,1-2,,,
EL,v2,HUfrv,NLtwn,20260730,2-2,2,,
EL,gA,AMarr,CZspr,20260916,1-4,,,
EL,gA,CYomm,EScdv,20260916,1-0,,,
EL,gA,G1snd,NLaz1,20260916,1-0,,,
EL,gA,ITmln,PTbnf,20260916,0-2,,,
EL,gA,DElvk,SIclj,20260916,2-0,,,
EL,gA,ILhbs,HRdzg,20260916,0-0,,,
EL,gA,GRolp,PLjbs,20260916,2-1,,,
EL,gA,BEand,FRoly,20260916,1-2,,,
EL,gA,ATstg,FRrnn,20260916,0-0,,,
EL,gA,BGlsf,ATrbs,20260917,0-1,,,
EL,gA,GRkrt,DEhff,20260917,2-0,,,
EL,gA,ITjuv,NLnec,20260917,5-0,,,
EL,gA,ESrsc,G1brm,20260917,1-2,,,
EL,gA,TRbsk,FRomr,20260917,4-1,,,
EL,gA,G2clt,HUfrv,20260917,1-3,,,
EL,gA,G1cry,PLlpz,20260917,4-0,,,
EL,gA,CZvpl,BEusg,20260917,0-3,,,
EL,gA,NOlll,PTtrr,20260917,1-2,,,
CF,v2,RSvns,NLajx,20260723,1-4,,,
CF,v2,NLajx,RSvns,20260730,4-1,2,,
CF,v3,NLajx,IEshl,20260806,3-1,,,
CF,v3,NLtwn,SKdac,20260806,6-0,,,
CF,v3,IEshl,NLajx,20260813,2-2,1,,
CF,v3,SKdac,NLtwn,20260813,3-3,1,,
CF,po,NLtwn,AZkrb,20260820,0-1,,,
CF,po,CHsio,NLajx,20260820,2-4,,,
CF,po,AZkrb,NLtwn,20260827,1-4,3,,
CF,po,NLajx,CHsio,20260827,5-3,2,,
