league,round,team1,team2,dd,result,star,remark,stadium
supercup,,ESrmd,DEefr,20220810,2-0,1,,
CL,v3,FRmnc,NLpsv,20220802,1-1,,,
CL,v3,NLpsv,FRmnc,20220809,3-2,4,,
CL,po,G2glr,NLpsv,20220816,2-2,,,
CL,po,NLpsv,G2glr,20220824,0-1,1,,
CL,gA,NLajx,G2glr,20220907,4-0,,,
CL,gA,ITnpl,G1lvp,20220907,4-1,,,
CL,gA,G1lvp,NLajx,20220913,2-1,,,
CL,gA,G2glr,ITnpl,20220914,0-3,,,
CL,gA,NLajx,ITnpl,20221004,1-6,,,
CL,gA,G1lvp,G2glr,20221004,2-0,,,
CL,gA,ITnpl,NLajx,20221012,4-2,,,
CL,gA,G2glr,G1lvp,20221012,1-7,,,
CL,gA,NLajx,G1lvp,20221026,0-3,,,
CL,gA,ITnpl,G2glr,20221026,3-0,,,
CL,gA,G2glr,NLajx,20221101,1-3,,,
CL,gA,G1lvp,ITnpl,20221101,2-0,,,
EL,gA,NLpsv,NObdg,20220908,1-1,,,
EL,gA,CHzrc,G1ars,20220908,1-2,,,
EL,gA,NObdg,CHzrc,20220915,2-1,,,
EL,gA,CHzrc,NLpsv,20221006,1-5,,,
EL,gA,G1ars,NObdg,20221006,3-0,,,
EL,gA,NLpsv,CHzrc,20221013,5-0,,,
EL,gA,NObdg,G1ars,20221013,0-1,,,
EL,gA,G1ars,NLpsv,20221020,1-0,,Uitgesteld vanwege het overlijden van koningin Elisabeth II,
EL,gA,NLpsv,G1ars,20221027,2-0,,,
EL,gA,CHzrc,NObdg,20221027,2-1,,,
EL,gA,G1ars,CHzrc,20221103,1-0,,,
EL,gA,NObdg,NLpsv,20221103,1-2,,,
EL,gF,ITlzr,NLfyn,20220908,4-2,,,
EL,gF,ATstg,DKmdl,20220908,1-0,,,
EL,gF,NLfyn,ATstg,20220915,6-0,,,
EL,gF,DKmdl,ITlzr,20220915,5-1,,,
EL,gF,DKmdl,NLfyn,20221006,2-2,,,
EL,gF,ATstg,ITlzr,20221006,0-0,,,
EL,gF,NLfyn,DKmdl,20221013,2-2,,,
EL,gF,ITlzr,ATstg,20221013,2-2,,,
EL,gF,ITlzr,DKmdl,20221027,2-1,,,
EL,gF,ATstg,NLfyn,20221027,1-0,,,
EL,gF,NLfyn,ITlzr,20221103,1-0,,,
EL,gF,DKmdl,ATstg,20221103,2-0,,,
EL,tr,ESsvl,NLpsv,20230216,3-0,,,
EL,tr,NLajx,DEubl,20230216,0-0,,,
EL,tr,NLpsv,ESsvl,20230223,2-0,,,
EL,tr,DEubl,NLajx,20230223,3-1,,,
EL,8f,UAsdk,NLfyn,20230309,1-1,,,Warschau
EL,8f,NLfyn,UAsdk,20230316,7-1,2,,
EL,4f,NLfyn,ITasr,20230413,-,,,
EL,4f,G1mnu,ESsvl,20230413,-,,,
EL,4f,ITjuv,PTspp,20230413,-,,,
EL,4f,DElvk,BEusg,20230413,-,,,
CF,v2,NLaz1,BAtzc,20220721,1-0,,,
CF,v2,BAtzc,NLaz1,20220728,0-4,1,,
CF,v3,CSckr,NLtwn,20220804,1-3,,,
CF,v3,NLtwn,CSckr,20220811,4-1,2,,
CF,v3,G2dnd,NLaz1,20220804,1-0,,,
CF,v3,NLaz1,G2dnd,20220811,7-0,2,,
CF,po,NLaz1,PTgvc,20220818,4-0,,,
CF,po,ITfrt,NLtwn,20220818,2-1,,,
CF,po,PTgvc,NLaz1,20220825,1-2,1,,
CF,po,NLtwn,ITfrt,20220825,0-0,1,,
CF,gE,CHvdz,CYapp,20220908,0-0,,,
CF,gE,UAdnp,NLaz1,20220908,0-1,,,
CF,gE,NLaz1,CHvdz,20220915,4-1,,,
CF,gE,CYapp,UAdnp,20220915,1-3,,,
CF,gE,UAdnp,CHvdz,20221006,2-2,,,
CF,gE,NLaz1,CYapp,20221006,3-2,,,
CF,gE,CYapp,NLaz1,20221013,1-0,,,
CF,gE,CHvdz,UAdnp,20221013,1-2,,,
CF,gE,CHvdz,NLaz1,20221027,1-2,,,
CF,gE,UAdnp,CYapp,20221027,1-0,,,
CF,gE,NLaz1,UAdnp,20221103,2-1,,,
CF,gE,CYapp,CHvdz,20221103,1-0,,,
CF,8f,ITlzr,NLaz1,20230307,1-2,,,
CF,8f,NLaz1,ITlzr,20230316,2-1,2,,
CF,4f,BEand,NLaz1,20230413,-,,,
CF,4f,PLlpz,ITfrt,20230413,-,,,
CF,4f,BEaag,G1whu,20230413,-,,,
CF,4f,CHbsl,FRnic,20230413,-,,,
