DH,distance,ranking,name,team,result,remark
H,500m,1,RUglb,,36.33,OR
H,500m,2,RUklv,,36.39,
H,500m,3,JPhor,,36.53,
H,500m,4,CNhbl,,36.54,
H,500m,5,JPsm2,,36.6,
H,500m,6,JPino,,36.63,
H,500m,7,NOnjs,,36.66,
H,500m,8,USjns,,36.68,
H,500m,9,JPmyb,,36.72,
H,500m,10,RUzjl,,36.73,
H,500m,21,NLvld,,37.45,
H,500m,24,NLlof,,37.52,
H,500m,31,NLvls,,37.94,
H,500m,37,NLsrd,,38.33,
H,1000m,1,USjns,,72.43,WR
H,1000m,2,RUzjl,,72.72,
H,1000m,3,RUklv,,72.85,
H,1000m,4,CNhbl,,73.47,
H,1000m,5,CAsbc,,73.56,
H,1000m,6,CAkll,,73.67,
H,1000m,7,NOst2,,73.74,
H,1000m,8,JPino,,73.75,
H,1000m,9,NLvld,,73.81,
H,1000m,10,CAsct,,73.82,
H,1000m,15,NLvls,,74.29,
H,1000m,22,NLlof,,75.12,
H,1000m,24,NLsrd,,75.19,
H,1500m,1,NOkss,,111.29,WR
H,1500m,2,NLrts,,111.99,
H,1500m,3,NLznd,,112.38,
H,1500m,4,NOsnd,,113.13,
H,1500m,5,RUanf,,113.16,
H,1500m,6,DEadb,,113.5,
H,1500m,7,CAmrs,,113.56,
H,1500m,8,NLhrs,,113.59,
H,1500m,9,NLstr,,113.7,
H,1500m,10,UAsjl,,114.28,
H,5km,1,NOkss,,394.96,WR
H,5km,2,NOstl,,402.68,
H,5km,3,NLrts,,403.94,
H,5km,4,NLznd,,404.58,
H,5km,5,NLbvl,,409,
H,5km,6,JPitk,,409.36,
H,5km,7,PLrdk,,410.4,
H,5km,8,DEdtt,,412.27,
H,5km,9,AThds,,413.02,
H,5km,10,ATemn,,413.18,
H,5km,11,RUanf,,413.23,
H,5km,12,SEsch,,413.39,
H,5km,13,JPsat,,414.83,
H,5km,14,SEbng,,417.37,
H,10km,1,NOkss,,810.55,WR
H,10km,2,NOstl,,829.25,
H,10km,3,NLbvl,,836.73,
H,10km,4,NLznd,,838.25,
H,10km,5,PLrdk,,843.84,
H,10km,6,DEdtt,,844.33,
H,10km,7,NLrts,,849.28,
H,10km,8,SEsch,,850.15,
H,10km,9,AThds,,852.09,
H,10km,10,ATemn,,855.14,
D,500m,1,USblr,,39.25,
D,500m,2,CAach,,39.61,
D,500m,3,DEsch,,39.7,
D,500m,4,CNrhx,,39.71,
D,500m,5,KRshy,,39.92,
D,500m,6,DEgbr,,39.95,
D,500m,7,RUbjr,,40.17,
D,500m,8,NOhst,,40.2,
D,500m,9,CNjng,,40.23,
D,500m,10,JPshm,,40.26,
D,500m,11,CNyng,,40.37,
D,500m,12,DEhck,,40.38,
D,500m,19,NLaft,,41.01,
D,1000m,1,USblr,,78.74,
D,1000m,2,DEbar,,80.12,
D,1000m,3,CNqby,,80.22,
D,1000m,4,DEsch,,80.25,
D,1000m,5,DEgbr,,80.32,
D,1000m,6,JPksn,,80.37,
D,1000m,7,AThnd,,80.42,
D,1000m,8,CAach,,80.72,
D,1000m,9,RUrvl,,80.82,
D,1000m,10,RUplt,,80.84,
D,1000m,11,RUfdt,,80.89,
D,1000m,12,DEhck,,80.93,
D,1000m,14,NLthm,,80.94,NR
D,1000m,20,NLaft,,82.16,
D,1500m,1,AThnd,,122.19,
D,1500m,2,RUfdt,,122.69,
D,1500m,3,DEnmn,,123.41,
D,1500m,4,USblr,,123.44,
D,1500m,5,NLthm,,123.7,
D,1500m,6,RUbsj,,123.99,
D,1500m,7,RUplt,,124,
D,1500m,8,ROdsc,,124.02,
D,1500m,9,JPhsh,,124.98,
D,1500m,10,NLtdj,,125.18,
D,1500m,11,DEbar,,125.97,
D,1500m,12,ITblc,,125.99,
D,1500m,13,JPksn,,126.2,
D,1500m,14,DEudb,,126.4,
D,1500m,22,NLzls,,128.49,
D,3km,1,RUbsj,,257.43,
D,3km,2,AThnd,,258.14,
D,3km,3,DEpch,,258.34,
D,3km,4,KZprk,,259.33,
D,3km,5,NLthm,,259.82,
D,3km,6,JPhsh,,261.07,
D,3km,7,JPymm,,262.37,
D,3km,8,ROdsc,,262.42,
D,3km,9,NLzls,,263.42,
D,3km,10,JPogs,,265.27,
D,3km,11,NLtdj,,265.88,
D,3km,12,RUtrp,,267.82,
D,3km,13,ATant,,267.91,
D,5km,1,DEpch,,434.37,
D,5km,2,DEnmn,,434.88,
D,5km,3,JPymm,,439.68,
D,5km,7,NLzls,,449.42,
D,5km,10,NLthm,,452.39,
D,5km,11,NLtdj,,456.07,
